fish_id,fish_name,weight_kg,length_cm,catch_date,province,fishing_method,freshness_score,category_id,location_id,fisher_id,category_name,habitat,avg_price_per_kg,location_name,latitude,longitude,water_depth_m,temperature_celsius,salinity_ppt,fisher_name,experience_years,boat_type,boat_capacity_kg,home_port,license_number
11,Halibut,29.48,72.1,12/17/2023,Jawa Timur,Purse Seine,9.0,5,12,215,Anadromous Fish,Sea/Freshwater,200000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_215,17,Traditional Boat,2607,Maluku,LIC634027
12,King Fish,22.72,106.7,12/23/2023,Jawa Barat,Purse Seine,3.0,4,12,403,Freshwater Fish,Rivers/Lakes,45000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_403,31,Trawler,4987,Maluku,LIC800890
13,Carp,30.34,97.5,1/19/2023,Jawa Timur,Long Line,3.0,3,7,244,Reef Fish,Coral Reef,150000,Laut Bali Zone G,-6.678901,134.916727,3840,30.5,33.9,Nelayan_244,13,Trawler,379,Papua,LIC188541
14,Yellowtail,42.66,187.4,6/20/2023,Jawa Barat,Purse Seine,5.0,3,14,315,Reef Fish,Coral Reef,150000,Laut Flores Zone D,4.426029,112.995942,104,26.1,31.0,Nelayan_315,10,Traditional Boat,1773,Lampung,LIC802349
15,Barramundi,12.13,88.0,9/5/2023,Maluku,Gill Net,6.0,4,11,159,Freshwater Fish,Rivers/Lakes,45000,Laut Banda Zone A,-8.540343,129.05869,1139,29.4,30.9,Nelayan_159,32,Trawler,2540,Jawa Barat,LIC627995
16,Cod,21.57,190.8,1/26/2023,Lampung,Purse Seine,8.0,2,11,466,Demersal Fish,Sea Bottom,120000,Laut Banda Zone A,-8.540343,129.05869,1139,29.4,30.9,Nelayan_466,26,Fishing Vessel,1390,Sulawesi Selatan,LIC792749
17,Swordfish,38.8,32.8,2/15/2023,Jawa Tengah,Gill Net,6.0,2,13,47,Demersal Fish,Sea Bottom,120000,Laut Banda Zone C,-6.811777,137.613943,2682,27.2,32.1,Nelayan_047,33,Motor Boat,4953,Sulawesi Selatan,LIC107258
18,Snapper,11.64,108.2,7/18/2023,Bali,Long Line,7.0,5,7,188,Anadromous Fish,Sea/Freshwater,200000,Laut Bali Zone G,-6.678901,134.916727,3840,30.5,33.9,Nelayan_188,6,Fishing Vessel,2562,Maluku,LIC914245
19,Grouper,33.63,59.9,7/29/2023,Jawa Barat,Long Line,9.0,3,8,422,Reef Fish,Coral Reef,150000,Teluk Jakarta Zone H,2.416839,106.483533,62,29.3,30.4,Nelayan_422,40,Motor Boat,2838,Lampung,LIC892064
20,Cod,45.25,171.8,6/9/2023,Papua,Hand Line,2.0,3,13,278,Reef Fish,Coral Reef,150000,Laut Banda Zone C,-6.811777,137.613943,2682,27.2,32.1,Nelayan_278,12,Trawler,3754,Lampung,LIC885632
21,Sole,25.18,162.0,12/16/2023,Jawa Barat,Gill Net,9.0,4,11,129,Freshwater Fish,Rivers/Lakes,45000,Laut Banda Zone A,-8.540343,129.05869,1139,29.4,30.9,Nelayan_129,17,Fishing Vessel,197,Jawa Tengah,LIC541971
22,Anchovy,37.43,34.0,12/6/2023,Kalimantan Selatan,Trap,7.0,5,16,115,Anadromous Fish,Sea/Freshwater,200000,Laut Arafura Zone F,-6.904449,117.914844,459,31.7,31.3,Nelayan_115,11,Traditional Boat,1275,Lampung,LIC521421
23,Herring,3.7,21.9,6/1/2023,Maluku,Trap,6.0,1,2,150,Pelagic Fish,Open Ocean,85000,Laut Timor Zone B,-6.261366,116.469252,1153,29.3,33.6,Nelayan_150,13,Motor Boat,319,Lampung,LIC193927
24,Snapper,44.56,191.0,11/7/2023,Lampung,Purse Seine,10.0,2,18,235,Demersal Fish,Sea Bottom,120000,Laut Jawa Zone H,0.689541,101.236256,2306,24.8,33.7,Nelayan_235,15,Fishing Vessel,4189,Bali,LIC283550
25,Flounder,37.67,115.6,2/26/2023,Papua,Gill Net,9.0,2,12,53,Demersal Fish,Sea Bottom,120000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_053,1,Traditional Boat,876,Jawa Tengah,LIC238026
26,Yellowtail,37.89,128.3,5/31/2023,Jawa Timur,Trap,6.0,1,16,249,Pelagic Fish,Open Ocean,85000,Laut Arafura Zone F,-6.904449,117.914844,459,31.7,31.3,Nelayan_249,15,Traditional Boat,1290,Jawa Tengah,LIC995790
27,Flounder,35.19,43.5,12/17/2023,Maluku,Hand Line,8.0,2,7,265,Demersal Fish,Sea Bottom,120000,Laut Bali Zone G,-6.678901,134.916727,3840,30.5,33.9,Nelayan_265,39,Traditional Boat,4351,Jawa Barat,LIC614548
28,Amberjack,7.44,128.3,9/22/2023,Bali,Long Line,7.0,5,10,443,Anadromous Fish,Sea/Freshwater,200000,Laut Flores Zone J,2.90322,137.906112,3634,26.9,31.5,Nelayan_443,30,Traditional Boat,1353,Maluku,LIC535942
29,Pomfret,36.31,49.7,3/20/2023,Sumatera Utara,Gill Net,5.0,2,2,295,Demersal Fish,Sea Bottom,120000,Laut Timor Zone B,-6.261366,116.469252,1153,29.3,33.6,Nelayan_295,28,Traditional Boat,2832,Maluku,LIC501269
30,Grouper,42.67,110.7,8/31/2023,Bali,Trap,1.0,4,10,326,Freshwater Fish,Rivers/Lakes,45000,Laut Flores Zone J,2.90322,137.906112,3634,26.9,31.5,Nelayan_326,23,Fishing Vessel,2219,Jawa Barat,LIC590096
31,Sole,48.26,109.5,4/10/2023,Jawa Tengah,Gill Net,10.0,4,20,127,Freshwater Fish,Rivers/Lakes,45000,Laut Natuna Zone J,4.826068,110.349063,59,28.7,31.0,Nelayan_127,14,Traditional Boat,1238,Kalimantan Selatan,LIC836023
32,Grouper,25.19,146.4,12/22/2023,Papua,Trap,10.0,4,2,80,Freshwater Fish,Rivers/Lakes,45000,Laut Timor Zone B,-6.261366,116.469252,1153,29.3,33.6,Nelayan_080,17,Fishing Vessel,3431,Sumatera Utara,LIC298989
33,Barramundi,18.39,73.1,11/7/2023,Bali,Long Line,6.0,5,12,477,Anadromous Fish,Sea/Freshwater,200000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_477,5,Trawler,4280,Jawa Tengah,LIC159349
34,Sole,3.82,40.0,5/9/2023,Sumatera Utara,Gill Net,7.0,1,8,67,Pelagic Fish,Open Ocean,85000,Teluk Jakarta Zone H,2.416839,106.483533,62,29.3,30.4,Nelayan_067,21,Traditional Boat,3362,Kalimantan Selatan,LIC700508
35,Catfish,17.55,69.5,4/12/2023,Maluku,Trap,9.0,3,4,437,Reef Fish,Coral Reef,150000,Laut Jawa Zone D,-8.014815,100.237065,2780,29.8,33.5,Nelayan_437,31,Fishing Vessel,364,Maluku,LIC168854
36,King Fish,3.55,162.8,8/3/2023,Jawa Tengah,Trawling,2.0,2,15,187,Demersal Fish,Sea Bottom,120000,Laut Bali Zone E,-2.619515,134.485533,1911,25.3,34.0,Nelayan_187,31,Motor Boat,4843,Jawa Tengah,LIC116352
37,Salmon,16.03,67.2,9/22/2023,Jawa Barat,Purse Seine,9.0,4,10,109,Freshwater Fish,Rivers/Lakes,45000,Laut Flores Zone J,2.90322,137.906112,3634,26.9,31.5,Nelayan_109,23,Fishing Vessel,573,Jawa Tengah,LIC206586
38,Barramundi,30.64,99.3,7/25/2023,Papua,Trawling,5.0,3,1,456,Reef Fish,Coral Reef,150000,Laut Flores Zone A,1.612803,99.89888,1276,29.2,33.5,Nelayan_456,32,Trawler,4946,Lampung,LIC177753
39,Flounder,45.87,90.0,2/6/2023,Bali,Trawling,10.0,1,3,173,Pelagic Fish,Open Ocean,85000,Laut Natuna Zone C,2.105336,123.630308,2780,26.0,33.8,Nelayan_173,14,Motor Boat,4530,Papua,LIC764247
40,Salmon,43.85,76.7,2/27/2023,Maluku,Trawling,5.0,4,10,94,Freshwater Fish,Rivers/Lakes,45000,Laut Flores Zone J,2.90322,137.906112,3634,26.9,31.5,Nelayan_094,27,Fishing Vessel,1971,Jawa Tengah,LIC201481
41,Amberjack,35.7,134.3,5/9/2023,Kalimantan Selatan,Purse Seine,2.0,5,14,316,Anadromous Fish,Sea/Freshwater,200000,Laut Flores Zone D,4.426029,112.995942,104,26.1,31.0,Nelayan_316,35,Fishing Vessel,4348,Lampung,LIC418280
42,Mahi-mahi,16.64,98.9,12/15/2023,Sumatera Utara,Trap,5.0,4,7,218,Freshwater Fish,Rivers/Lakes,45000,Laut Bali Zone G,-6.678901,134.916727,3840,30.5,33.9,Nelayan_218,1,Fishing Vessel,1673,Kalimantan Selatan,LIC766032
43,Sea Bass,10.3,78.4,12/17/2023,Maluku,Purse Seine,4.0,3,6,386,Reef Fish,Coral Reef,150000,Laut Bali Zone F,-6.619647,102.931626,89,24.0,33.9,Nelayan_386,39,Traditional Boat,1178,Bali,LIC283555
44,Sole,36.41,136.3,7/30/2023,Lampung,Trap,2.0,5,12,65,Anadromous Fish,Sea/Freshwater,200000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_065,38,Traditional Boat,3720,Lampung,LIC178276
45,Trout,0.71,170.4,12/4/2023,Lampung,Trawling,3.0,3,17,170,Reef Fish,Coral Reef,150000,Teluk Jakarta Zone G,-4.84266,127.424103,344,25.3,34.4,Nelayan_170,38,Trawler,2231,Jawa Tengah,LIC106083
46,Pomfret,34.94,34.8,6/9/2023,Lampung,Hand Line,10.0,3,10,147,Reef Fish,Coral Reef,150000,Laut Flores Zone J,2.90322,137.906112,3634,26.9,31.5,Nelayan_147,3,Traditional Boat,1231,Jawa Barat,LIC992780
47,Grouper,35.2,192.6,10/26/2023,Sumatera Utara,Purse Seine,7.0,4,20,207,Freshwater Fish,Rivers/Lakes,45000,Laut Natuna Zone J,4.826068,110.349063,59,28.7,31.0,Nelayan_207,6,Motor Boat,352,Bali,LIC469029
48,Halibut,13.35,149.1,9/27/2023,Sumatera Utara,Trawling,6.0,3,12,210,Reef Fish,Coral Reef,150000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_210,1,Trawler,1578,Sulawesi Selatan,LIC273502
49,Sea Bass,8.52,170.9,1/4/2023,Jawa Barat,Hand Line,5.0,4,17,378,Freshwater Fish,Rivers/Lakes,45000,Teluk Jakarta Zone G,-4.84266,127.424103,344,25.3,34.4,Nelayan_378,22,Motor Boat,4261,Jawa Barat,LIC431888
50,Trout,39.66,199.6,9/24/2023,Papua,Long Line,8.0,1,8,492,Pelagic Fish,Open Ocean,85000,Teluk Jakarta Zone H,2.416839,106.483533,62,29.3,30.4,Nelayan_492,16,Motor Boat,1437,Sulawesi Selatan,LIC425341
51,Catfish,49.34,174.4,9/16/2023,Jawa Barat,Hand Line,3.0,2,18,349,Demersal Fish,Sea Bottom,120000,Laut Jawa Zone H,0.689541,101.236256,2306,24.8,33.7,Nelayan_349,7,Fishing Vessel,4335,Kalimantan Selatan,LIC278741
52,Cod,35.98,199.6,5/26/2023,Jawa Barat,Hand Line,9.0,4,13,325,Freshwater Fish,Rivers/Lakes,45000,Laut Banda Zone C,-6.811777,137.613943,2682,27.2,32.1,Nelayan_325,29,Motor Boat,4097,Jawa Barat,LIC584810
53,Mackerel,9.22,193.3,5/5/2023,Bali,Trawling,4.0,1,20,287,Pelagic Fish,Open Ocean,85000,Laut Natuna Zone J,4.826068,110.349063,59,28.7,31.0,Nelayan_287,11,Fishing Vessel,4815,Jawa Timur,LIC505706
54,Barramundi,22.76,86.3,8/28/2023,Sulawesi Selatan,Purse Seine,6.0,5,4,186,Anadromous Fish,Sea/Freshwater,200000,Laut Jawa Zone D,-8.014815,100.237065,2780,29.8,33.5,Nelayan_186,30,Trawler,873,Kalimantan Selatan,LIC480980
55,Anchovy,25.12,115.9,6/26/2023,Sumatera Utara,Purse Seine,9.0,1,19,292,Pelagic Fish,Open Ocean,85000,Laut Bali Zone I,-5.670297,111.70617,481,27.2,30.6,Nelayan_292,4,Motor Boat,1830,Jawa Barat,LIC862199
56,Swordfish,47.78,155.3,9/5/2023,Lampung,Hand Line,2.0,1,3,177,Pelagic Fish,Open Ocean,85000,Laut Natuna Zone C,2.105336,123.630308,2780,26.0,33.8,Nelayan_177,3,Motor Boat,179,Papua,LIC996299
57,Herring,31.02,87.2,3/19/2023,Bali,Gill Net,1.0,1,8,273,Pelagic Fish,Open Ocean,85000,Teluk Jakarta Zone H,2.416839,106.483533,62,29.3,30.4,Nelayan_273,28,Motor Boat,107,Papua,LIC601942
58,Salmon,11.99,23.8,7/28/2023,Papua,Long Line,3.0,3,12,299,Reef Fish,Coral Reef,150000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_299,19,Trawler,2637,Sumatera Utara,LIC422356
59,Grouper,27.34,97.2,5/1/2023,Jawa Timur,Purse Seine,5.0,3,13,34,Reef Fish,Coral Reef,150000,Laut Banda Zone C,-6.811777,137.613943,2682,27.2,32.1,Nelayan_034,1,Fishing Vessel,986,Kalimantan Selatan,LIC745831
60,Mahi-mahi,0.92,113.8,7/30/2023,Kalimantan Selatan,Trap,3.0,4,16,16,Freshwater Fish,Rivers/Lakes,45000,Laut Arafura Zone F,-6.904449,117.914844,459,31.7,31.3,Nelayan_016,22,Trawler,2700,Lampung,LIC213867
61,Flounder,40.37,159.3,9/4/2023,Sumatera Utara,Gill Net,1.0,1,1,190,Pelagic Fish,Open Ocean,85000,Laut Flores Zone A,1.612803,99.89888,1276,29.2,33.5,Nelayan_190,36,Traditional Boat,2337,Bali,LIC983764
62,Swordfish,5.72,165.2,1/6/2023,Sulawesi Selatan,Hand Line,1.0,2,19,356,Demersal Fish,Sea Bottom,120000,Laut Bali Zone I,-5.670297,111.70617,481,27.2,30.6,Nelayan_356,22,Fishing Vessel,3905,Jawa Barat,LIC541887
63,Mahi-mahi,19.79,23.3,9/4/2023,Jawa Tengah,Trap,10.0,3,1,2,Reef Fish,Coral Reef,150000,Laut Flores Zone A,1.612803,99.89888,1276,29.2,33.5,Nelayan_002,33,Traditional Boat,860,Jawa Timur,LIC612729
64,Sardine,7.3,163.9,5/18/2023,Bali,Hand Line,7.0,3,12,3,Reef Fish,Coral Reef,150000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_003,3,Traditional Boat,932,Sumatera Utara,LIC650826
65,Herring,17.6,179.2,11/12/2023,Kalimantan Selatan,Long Line,5.0,2,6,220,Demersal Fish,Sea Bottom,120000,Laut Bali Zone F,-6.619647,102.931626,89,24.0,33.9,Nelayan_220,26,Fishing Vessel,4432,Sumatera Utara,LIC892385
66,Swordfish,33.72,183.9,11/16/2023,Sulawesi Selatan,Purse Seine,8.0,3,7,357,Reef Fish,Coral Reef,150000,Laut Bali Zone G,-6.678901,134.916727,3840,30.5,33.9,Nelayan_357,11,Trawler,1028,Sulawesi Selatan,LIC591964
67,Sole,1.14,171.4,7/10/2023,Sumatera Utara,Long Line,8.0,2,16,129,Demersal Fish,Sea Bottom,120000,Laut Arafura Zone F,-6.904449,117.914844,459,31.7,31.3,Nelayan_129,17,Fishing Vessel,197,Jawa Tengah,LIC541971
68,Pomfret,7.42,175.1,4/5/2023,Sumatera Utara,Purse Seine,1.0,3,20,460,Reef Fish,Coral Reef,150000,Laut Natuna Zone J,4.826068,110.349063,59,28.7,31.0,Nelayan_460,22,Fishing Vessel,2635,Lampung,LIC971386
69,King Fish,21.98,41.8,4/6/2023,Kalimantan Selatan,Trap,6.0,4,9,378,Freshwater Fish,Rivers/Lakes,45000,Laut Banda Zone I,5.850701,127.92157,3431,27.8,34.3,Nelayan_378,22,Motor Boat,4261,Jawa Barat,LIC431888
70,Barramundi,38.8,34.1,1/25/2023,Jawa Barat,Purse Seine,9.0,5,8,169,Anadromous Fish,Sea/Freshwater,200000,Teluk Jakarta Zone H,2.416839,106.483533,62,29.3,30.4,Nelayan_169,28,Motor Boat,4275,Maluku,LIC189469
71,Amberjack,15.14,128.9,3/26/2023,Maluku,Long Line,6.0,2,15,333,Demersal Fish,Sea Bottom,120000,Laut Bali Zone E,-2.619515,134.485533,1911,25.3,34.0,Nelayan_333,15,Traditional Boat,1279,Kalimantan Selatan,LIC411059
72,Pomfret,4.66,171.7,3/21/2023,Sulawesi Selatan,Hand Line,8.0,4,14,268,Freshwater Fish,Rivers/Lakes,45000,Laut Flores Zone D,4.426029,112.995942,104,26.1,31.0,Nelayan_268,37,Trawler,4135,Sumatera Utara,LIC998253
73,Mackerel,40.63,22.9,9/12/2023,Sulawesi Selatan,Trap,1.0,4,15,136,Freshwater Fish,Rivers/Lakes,45000,Laut Bali Zone E,-2.619515,134.485533,1911,25.3,34.0,Nelayan_136,2,Motor Boat,560,Papua,LIC525382
74,Salmon,12.41,61.3,2/6/2023,Lampung,Trap,7.0,4,5,364,Freshwater Fish,Rivers/Lakes,45000,Laut Sulawesi Zone E,1.763838,111.580859,424,25.9,32.6,Nelayan_364,16,Motor Boat,1381,Bali,LIC152391
75,Halibut,1.23,109.9,7/25/2023,Jawa Tengah,Purse Seine,9.0,2,1,384,Demersal Fish,Sea Bottom,120000,Laut Flores Zone A,1.612803,99.89888,1276,29.2,33.5,Nelayan_384,7,Traditional Boat,741,Papua,LIC292591
76,Herring,47.28,136.3,8/27/2023,Sumatera Utara,Trawling,3.0,1,16,205,Pelagic Fish,Open Ocean,85000,Laut Arafura Zone F,-6.904449,117.914844,459,31.7,31.3,Nelayan_205,40,Fishing Vessel,4576,Kalimantan Selatan,LIC904787
77,Mackerel,20.03,111.3,11/5/2023,Sumatera Utara,Gill Net,3.0,1,3,60,Pelagic Fish,Open Ocean,85000,Laut Natuna Zone C,2.105336,123.630308,2780,26.0,33.8,Nelayan_060,33,Traditional Boat,1094,Jawa Tengah,LIC327037
78,Pomfret,44.22,23.3,1/1/2024,Papua,Trawling,5.0,2,19,163,Demersal Fish,Sea Bottom,120000,Laut Bali Zone I,-5.670297,111.70617,481,27.2,30.6,Nelayan_163,7,Fishing Vessel,3169,Papua,LIC992979
79,Sea Bass,24.44,148.0,1/14/2023,Jawa Timur,Trawling,1.0,1,15,133,Pelagic Fish,Open Ocean,85000,Laut Bali Zone E,-2.619515,134.485533,1911,25.3,34.0,Nelayan_133,27,Trawler,4793,Maluku,LIC613414
80,Trout,11.49,60.9,10/23/2023,Jawa Barat,Long Line,10.0,4,4,269,Freshwater Fish,Rivers/Lakes,45000,Laut Jawa Zone D,-8.014815,100.237065,2780,29.8,33.5,Nelayan_269,12,Trawler,4366,Jawa Barat,LIC482186
81,Tilapia,16.85,68.7,4/12/2023,Jawa Timur,Hand Line,2.0,1,2,488,Pelagic Fish,Open Ocean,85000,Laut Timor Zone B,-6.261366,116.469252,1153,29.3,33.6,Nelayan_488,38,Trawler,173,Jawa Timur,LIC695360
82,King Fish,38.41,82.0,11/23/2023,Papua,Long Line,3.0,1,12,410,Pelagic Fish,Open Ocean,85000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_410,32,Fishing Vessel,1034,Lampung,LIC979691
83,Cod,19.03,171.5,3/11/2023,Sumatera Utara,Gill Net,3.0,5,1,222,Anadromous Fish,Sea/Freshwater,200000,Laut Flores Zone A,1.612803,99.89888,1276,29.2,33.5,Nelayan_222,10,Motor Boat,111,Bali,LIC967557
84,Flounder,31.07,94.0,4/29/2023,Bali,Long Line,2.0,3,8,491,Reef Fish,Coral Reef,150000,Teluk Jakarta Zone H,2.416839,106.483533,62,29.3,30.4,Nelayan_491,35,Motor Boat,1570,Sumatera Utara,LIC833658
85,Carp,39.62,53.0,3/20/2023,Maluku,Gill Net,5.0,1,13,402,Pelagic Fish,Open Ocean,85000,Laut Banda Zone C,-6.811777,137.613943,2682,27.2,32.1,Nelayan_402,10,Trawler,2511,Sulawesi Selatan,LIC751561
86,Tuna,27.57,69.9,1/3/2023,Sulawesi Selatan,Trawling,1.0,4,19,373,Freshwater Fish,Rivers/Lakes,45000,Laut Bali Zone I,-5.670297,111.70617,481,27.2,30.6,Nelayan_373,17,Trawler,3409,Papua,LIC323012
87,Swordfish,8.98,80.6,10/24/2023,Papua,Long Line,6.0,3,4,344,Reef Fish,Coral Reef,150000,Laut Jawa Zone D,-8.014815,100.237065,2780,29.8,33.5,Nelayan_344,13,Trawler,1850,Maluku,LIC389323
88,Herring,26.37,184.7,7/23/2023,Jawa Timur,Gill Net,9.0,3,12,268,Reef Fish,Coral Reef,150000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_268,37,Trawler,4135,Sumatera Utara,LIC998253
89,King Fish,19.69,176.2,11/7/2023,Jawa Timur,Purse Seine,9.0,3,20,365,Reef Fish,Coral Reef,150000,Laut Natuna Zone J,4.826068,110.349063,59,28.7,31.0,Nelayan_365,9,Trawler,899,Kalimantan Selatan,LIC375020
90,Grouper,45.36,66.0,4/25/2023,Papua,Gill Net,4.0,1,20,208,Pelagic Fish,Open Ocean,85000,Laut Natuna Zone J,4.826068,110.349063,59,28.7,31.0,Nelayan_208,7,Fishing Vessel,1374,Kalimantan Selatan,LIC200616
91,Salmon,24.28,45.9,10/11/2023,Sumatera Utara,Hand Line,2.0,4,14,399,Freshwater Fish,Rivers/Lakes,45000,Laut Flores Zone D,4.426029,112.995942,104,26.1,31.0,Nelayan_399,28,Motor Boat,1333,Kalimantan Selatan,LIC480188
92,Sea Bass,48.24,168.6,11/5/2023,Bali,Hand Line,6.0,2,1,113,Demersal Fish,Sea Bottom,120000,Laut Flores Zone A,1.612803,99.89888,1276,29.2,33.5,Nelayan_113,35,Traditional Boat,1437,Lampung,LIC627354
93,Grouper,5.31,134.8,8/10/2023,Maluku,Hand Line,9.0,1,2,4,Pelagic Fish,Open Ocean,85000,Laut Timor Zone B,-6.261366,116.469252,1153,29.3,33.6,Nelayan_004,29,Motor Boat,2303,Papua,LIC942039
94,Tilapia,0.59,32.8,9/6/2023,Jawa Timur,Gill Net,1.0,2,12,312,Demersal Fish,Sea Bottom,120000,Laut Flores Zone B,-3.052861,139.649345,728,24.0,33.4,Nelayan_312,23,Fishing Vessel,3968,Bali,LIC724039
95,Amberjack,39.99,96.8,10/5/2023,Jawa Timur,Trawling,7.0,1,10,90,Pelagic Fish,Open Ocean,85000,Laut Flores Zone J,2.90322,137.906112,3634,26.9,31.5,Nelayan_090,8,Traditional Boat,1221,Bali,LIC408200
96,King Fish,46.57,85.9,7/26/2023,Jawa Timur,Long Line,2.0,5,7,476,Anadromous Fish,Sea/Freshwater,200000,Laut Bali Zone G,-6.678901,134.916727,3840,30.5,33.9,Nelayan_476,1,Motor Boat,1603,Sumatera Utara,LIC245063
97,Swordfish,41.27,15.5,3/30/2023,Maluku,Trap,3.0,2,10,467,Demersal Fish,Sea Bottom,120000,Laut Flores Zone J,2.90322,137.906112,3634,26.9,31.5,Nelayan_467,37,Fishing Vessel,3694,Sulawesi Selatan,LIC579312
98,Snapper,16.04,153.7,4/25/2023,Jawa Tengah,Purse Seine,5.0,3,18,483,Reef Fish,Coral Reef,150000,Laut Jawa Zone H,0.689541,101.236256,2306,24.8,33.7,Nelayan_483,16,Trawler,3766,Sulawesi Selatan,LIC760553
99,Cod,48.06,186.2,10/5/2023,Kalimantan Selatan,Long Line,2.0,4,10,187,Freshwater Fish,Rivers/Lakes,45000,Laut Flores Zone J,2.90322,137.906112,3634,26.9,31.5,Nelayan_187,31,Motor Boat,4843,Jawa Tengah,LIC116352
100,Herring,1.86,184.7,6/10/2023,Papua,Hand Line,10.0,5,6,428,Anadromous Fish,Sea/Freshwater,200000,Laut Bali Zone F,-6.619647,102.931626,89,24.0,33.9,Nelayan_428,28,Traditional Boat,191,Jawa Barat,LIC781664
101,Halibut,37.68,129.9,4/22/2023,Jawa Barat,Hand Line,8.0,2,15,158,Demersal Fish,Sea Bottom,120000,Laut Bali Zone E,-2.619515,134.485533,1911,25.3,34.0,Nelayan_158,8,Trawler,4601,Sulawesi Selatan,LIC156536
102,Pomfret,6.12,49.5,5/20/2023,Kalimantan Selatan,Long Line,5.0,4,3,102,Freshwater Fish,Rivers/Lakes,45000,Laut Natuna Zone C,2.105336,123.630308,2780,26.0,33.8,Nelayan_102,9,Trawler,3585,Bali,LIC353659
103,Sardine,2.2,189.4,8/30/2023,Kalimantan Selatan,Long Line,6.0,1,15,469,Pelagic Fish,Open Ocean,85000,Laut Bali Zone E,-2.619515,134.485533,1911,25.3,34.0,Nelayan_469,13,Trawler,4126,Maluku,LIC425903
104,Herring,16.04,81.7,4/1/2023,Papua,Trap,3.0,1,20,53,Pelagic Fish,Open Ocean,85000,Laut Natuna Zone J,4.826068,110.349063,59,28.7,31.0,Nelayan_053,1,Traditional Boat,876,Jawa Tengah,LIC238026
